Keyword,Intent,Volume_FR,KD,CPC_EUR,URL_slug,Page_type,Title_tag,Meta_desc,H1,Schema,Content_length_words,Internal_links,Notes
bilan de compétences bordeaux,Transactionnel,1300,29,3.1,/bilan-de-competences-bordeaux,Pilier,"Bilan de compétences à Bordeaux : CPF, tarifs & RDV gratuit – Atipik RH","Envie de reconversion ? Faites votre bilan de compétences à Bordeaux avec un coach certifié. Financement CPF, RDV découverte offert.",Bilan de compétences à Bordeaux,"LocalBusiness, FAQPage, VideoObject",2500,4-6,"Inclure témoignages bordelais, carte Google Maps."
bilan de compétences cpf bordeaux,Transactionnel,590,24,4.0,/bilan-de-competences-cpf-bordeaux,Cluster,Financer votre bilan de compétences CPF à Bordeaux – Atipik RH,"Utilisez votre CPF pour financer votre bilan de compétences à Bordeaux. Accompagnement certifié, 100 % éligible CPF.",Bilan de compétences CPF à Bordeaux,FAQPage,1200,3-4,"Tableau comparatif financements : CPF, Pôle Emploi, employeur."
bilan de compétences en ligne bordeaux,Transactionnel,260,18,2.2,/bilan-de-competences-en-ligne-bordeaux,Cluster,Bilan de compétences en ligne (Bordeaux) – Flexible & certifié,"Profitez d’un bilan de compétences 100 % en ligne depuis Bordeaux : sessions vidéo, coach dédié, CPF accepté.",Bilan de compétences en ligne depuis Bordeaux,"HowTo, FAQPage",900,2-3,"FAQ sur déroulement à distance, intégrer outil de visio."
prix bilan de compétences bordeaux,Informationnel,170,20,2.8,/prix-bilan-de-competences-bordeaux,Cluster,Combien coûte un bilan de compétences à Bordeaux ? Tarifs 2025,Découvrez les tarifs de chaque formule de bilan de compétences à Bordeaux et les financements possibles.,Prix d’un bilan de compétences à Bordeaux,FAQPage,1000,2-3,"Tableau des 3 formules (Essentiel, Premium, Executive)."
quiz bilan de compétences,Informationnel,320,22,1.9,/quiz-bilan-de-competences,Cluster,Quiz : êtes‑vous prêt pour un bilan de compétences ?,Faites le test en 7 questions pour savoir si le bilan de compétences est fait pour vous. Résultats immédiats.,Quiz bilan de compétences,FAQPage,600,Link to /bilan-de-competences-bordeaux,"Intégrer quiz interactif embeddable, call‑to‑action vers RDV."
vae bordeaux,Transactionnel,900,28,3.6,/vae-bordeaux,Pilier,VAE à Bordeaux : obtenez votre diplôme par l’expérience – Atipik RH,"Transformez votre expérience en diplôme grâce à la VAE à Bordeaux. 1er RDV offert, accompagnement sur‑mesure.",VAE à Bordeaux,"LocalBusiness, FAQPage, VideoObject",2200,4-6,Décrire les 2 formules : Standard & Premium.
accompagnement vae bordeaux,Transactionnel,210,21,3.5,/accompagnement-vae-bordeaux,Cluster,Accompagnement VAE à Bordeaux : méthode & tarifs,"Découvrez nos formules d’accompagnement VAE à Bordeaux, éligibles CPF, et réservez un premier entretien gratuit.",Accompagnement VAE à Bordeaux,FAQPage,1300,3-4,"Étapes détaillées du parcours, calendrier."
vae cpf bordeaux,Transactionnel,160,19,3.8,/vae-cpf-bordeaux,Cluster,Financer votre VAE avec le CPF à Bordeaux – Atipik RH,Utilisez vos droits CPF pour financer votre VAE à Bordeaux. Explications pas‑à‑pas et simulateur de budget.,VAE CPF Bordeaux,FAQPage,1000,2-3,"Inclure simulateur CPF, liens officiels MonCompteFormation."
dossier vae bordeaux,Informationnel,75,17,2.2,/dossier-vae-bordeaux,Cluster,Constituer son dossier VAE à Bordeaux : guide complet 2025,"Étapes, pièces à fournir et conseils pour réussir son dossier VAE en Nouvelle‑Aquitaine.",Guide dossier VAE Bordeaux,HowTo,1200,2-3,Téléchargement check‑list PDF en lead magnet.
formation cip bordeaux,Transactionnel,380,23,2.8,/formation-cip-bordeaux,Pilier,Formation CIP à Bordeaux : Conseiller Insertion Professionnelle (TP) – Atipik RH,"Devenez Conseiller Insertion Professionnelle (CIP) à Bordeaux. Titre pro, éligible CPF, sessions 2025.",Formation Conseiller Insertion Professionnelle à Bordeaux,"Course, Event, FAQPage",2200,4-6,"Ajouter calendrier des sessions, taux de réussite."
formation cip cpf bordeaux,Transactionnel,110,18,3.1,/formation-cip-cpf-bordeaux,Cluster,Financer votre formation CIP à Bordeaux avec le CPF,Toutes les étapes pour mobiliser votre CPF et financer la formation CIP à Bordeaux.,CPF pour la formation CIP Bordeaux,FAQPage,900,2-3,Tableau coût vs droits CPF.
